"cpnID","cpnWorkingName"
32,"$100 OFF Lumilor 8oz Kits"
58,"$50 OFF Lumilor 4oz Kits"
30,"10% OFF 3M Sanding Block Set"
23,"10% OFF Candy2o"
37,"10% OFF Candy2o Sets"
34,"10% OFF Coast Airbrush Apparel"
47,"10% OFF Createx Quicksilver Box Set"
70,"10% OFF CSI"
68,"10% OFF FBS TAPES"
24,"10% OFF Mack Brushes"
43,"10% OFF Specialty Black Ops"
38,"11% OFF One Shot Paints"
39,"12% OFF Iwata Accessories"
52,"15% OFF Auto Air Sets"
33,"15% OFF BLACK OPS"
42,"15% OFF Createx Paints"
28,"20% OFF 3M Accuspray Kit"
59,"20% OFF ALL BADGER AIRBRUSHES (applied in cart)"
69,"20% OFF FBS Autografix Tapes"
67,"20% OFF FLAKE KING"
54,"20% OFF Iwata Accessories / Black Friday"
40,"20% OFF Iwata Airbrush Holder"
27,"25% OFF System 51"
36,"30% BADGER Krome"
60,"50% OFF BLACK OPS COATING"
26,"50% OFF Graftobian Makeup"
25,"50% OFF HBB Stencils"
19,"BADGER20"
18,"BADGER25"
64,"Bishop Rotary DISCOUNT"
56,"CMB"
22,"CTXFB5"
55,"Discount 25% OFF Coast Apparel"
45,"FREE TEMPLATE SHIPPING"
46,"FREE TEMPLATE SHIPPING 100"
57,"HALF OFF HOK Limited Edition Color Set"
66,"KAFKA Giveaway Promotion"
14,"MCAFREE"
13,"P&KG Wholesale"
20,"PKG Wholesale"
65,"Ryan Townsend DISCOUNT"
